File_name,Source,Variance(value),SE
X_apo.ENSG00000004776.12.hsq,V(G)/Vp,0.000001,0.065377
X_apo.ENSG00000077522.12.hsq,V(G)/Vp,0.000001,0.050763
X_apo.ENSG00000086967.9.hsq,V(G)/Vp,0.000001,0.056571
X_apo.ENSG00000092054.12.hsq,V(G)/Vp,0.000001,0.074611
X_apo.ENSG00000101210.10.hsq,V(G)/Vp,0.000001,0.060096
X_apo.ENSG00000101470.9.hsq,V(G)/Vp,0.000001,0.051354
X_apo.ENSG00000104879.4.hsq,V(G)/Vp,0.000001,0.062427
X_apo.ENSG00000109061.9.hsq,V(G)/Vp,0.000001,0.068178
X_apo.ENSG00000109846.7.hsq,V(G)/Vp,0.000001,0.050102
X_apo.ENSG00000111245.14.hsq,V(G)/Vp,0.001155,0.033268
X_apo.ENSG00000114854.7.hsq,V(G)/Vp,0.043545,0.057404
X_apo.ENSG00000121769.7.hsq,V(G)/Vp,0.000001,0.061461
X_apo.ENSG00000125414.18.hsq,V(G)/Vp,0.000001,0.069008
X_apo.ENSG00000128591.15.hsq,V(G)/Vp,0.000001,0.067599
X_apo.ENSG00000143318.12.hsq,V(G)/Vp,0.000001,0.065760
X_apo.ENSG00000143632.14.hsq,V(G)/Vp,0.000001,0.046749
X_apo.ENSG00000152137.6.hsq,V(G)/Vp,0.000001,0.067043
X_apo.ENSG00000154553.13.hsq,V(G)/Vp,0.000001,0.058072
X_apo.ENSG00000156885.5.hsq,V(G)/Vp,0.013696,0.046854
X_apo.ENSG00000159173.18.hsq,V(G)/Vp,0.000001,0.065005
X_apo.ENSG00000160808.9.hsq,V(G)/Vp,0.006658,0.034362
X_apo.ENSG00000161281.10.hsq,V(G)/Vp,0.000001,0.059706
X_apo.ENSG00000168530.15.hsq,V(G)/Vp,0.000001,0.051622
X_apo.ENSG00000170290.3.hsq,V(G)/Vp,0.022346,0.039899
X_apo.ENSG00000173641.17.hsq,V(G)/Vp,0.000001,0.053990
X_apo.ENSG00000173991.5.hsq,V(G)/Vp,0.000001,0.060891
X_apo.ENSG00000175084.11.hsq,V(G)/Vp,0.000001,0.045875
X_apo.ENSG00000177791.11.hsq,V(G)/Vp,0.000001,0.051680
X_apo.ENSG00000180209.11.hsq,V(G)/Vp,0.000001,0.053588
X_apo.ENSG00000182676.4.hsq,V(G)/Vp,0.000001,0.074862
X_apo.ENSG00000196091.13.hsq,V(G)/Vp,0.000001,0.060061
X_apo.ENSG00000196296.13.hsq,V(G)/Vp,0.000001,0.052475
X_apo.ENSG00000197893.13.hsq,V(G)/Vp,0.000001,0.056772
X_apo.ENSG00000198125.12.hsq,V(G)/Vp,0.000001,0.050050
X_apo.ENSG00000239474.6.hsq,V(G)/Vp,0.000001,0.064331
